账单行号,单号,快递公司,目的地省,账单重量,账单快递费,账单操作费,账单金额,商家ID,在订单中,订单快递,订单省份,订单重量,理论重量,理论快递费,理论总费用,费用差异,重量匹配,状态
80,435158257309217,韵达快递,安徽省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,安徽省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
81,435159116248818,韵达快递,福建省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
82,435159100095399,韵达快递,河南省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
83,428186393917150,韵达快递,广东省,1,2.8,0.9,3.7,70迈官旗(253810120),是,韵达快递,广东省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
84,435158256327237,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,江苏省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
85,435159582201302,韵达快递,四川省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
86,435160454382078,韵达快递,广东省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
87,435162062748336,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
88,321118325504295,韵达快递,山东省,1,2.8,0.9,3.7,70迈官方旗舰店(8935270),否,,,,,,,,,未在发货订单中
89,435161953055248,韵达快递,湖南省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
90,435161602135107,韵达快递,河北省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,河北省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
91,435162058853643,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),否,,,,,,,,,未在发货订单中
92,435163062817130,韵达快递,四川省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,四川省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
93,435163761823601,韵达快递,浙江省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,浙江省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
94,435163072971159,韵达快递,福建省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,福建省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
95,435163902888511,韵达快递,福建省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,福建省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
96,435163072172359,韵达快递,江苏省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,江苏省,0.1,0.1,2.8,3.7,0,差异(1 vs 0.1),金额一致
97,435163065170898,韵达快递,湖南省,1,2.8,0.9,3.7,7******店(3216296648),是,韵达快递,湖南省,0.2,0.2,2.8,3.7,0,差异(1 vs 0.2),金额一致
